Unnamed: 0,цена,Объем,Чистота,Страна,Описание
П-21,15000,20мг/3мл,0.998,Россия,
5АМИНО,18000,100мг/3мл,0.996,Россия,
Эпиталон,8900,30мг/3мл,0.997,Россия,
ТБ-500+БПЦ-157,8000,10+10мг/3мл,0.998,Россия,
Трипептид меди,8000,100мг/3мл,0.996,Россия,
ГЛОУ 70,12500,50+10+10/3мл,0.998,Россия,
МОТС+СС,11000,20+20мг/3мл,0.998,Россия,
Юниверон,9500,1мл,,Россия,
Соматомедин,19000,15мг/3мл,0.993,Россия,
ГЛУНАК,3000,2400мг,,Россия,
Глут,1000,1200мг,,Россия,
ТИ-пептин,34000,50мг/3мл,0.998,Россия,
КАГРИ,11500,10мг/3мл,0.996,Россия,
СЕМА+КАГРИ,10000,12мг/3мл,0.998,Россия,
КИСС,7000,10мг/3мл,0.996,Россия,
АОД-9674,21000,30мг/3мл,0.993,Россия,
KLOW,16000,50+10+10+10/3мл,0.993,Россия,
KPV,5500,10мг/3мл,0.994,Россия,
СЕМА,9000,12мг/3мл,0.998,Россия,
