Название,Цена,Объем,Чистота,Страна,Описание
"П-21",15000,"20мг/3мл",0.998,Россия,"Нейропептидный комплекс для улучшения памяти, концентрации и защиты нейронов от повреждений."
"5АМИНО",18000,"100мг/3мл",0.996,Россия,"Аминокислотный комплекс для поддержки синтеза белка, восстановления тканей и общей энергетики организма."
"Эпиталон",8900,"30мг/3мл",0.997,Россия,"Пептид для замедления процессов старения. Активирует теломеразу и удлиняет теломеры. Улучшает общее самочувствие, сон и замедляет возрастные изменения."
"ТБ-500+БПЦ-157",8000,"10+10мг/3мл",0.998,Россия,"Комбинированный пептидный комплекс для восстановления мышечных тканей, сухожилий и связок. Ускоряет заживление ран и уменьшает воспаление."
"Трипептид меди",8000,"100мг/3мл",0.996,Россия,"Пептид с антиоксидантными и противовоспалительными свойствами. Способствует заживлению тканей и защите от окислительного стресса."
"ГЛОУ 70",12500,"50+10+10/3мл",0.998,Россия,"Комплексный пептидный препарат для интенсивного омоложения и восстановления на клеточном уровне."
"МОТС+СС",11000,"20+20мг/3мл",0.998,Россия,"Комбинированный пептидный комплекс для улучшения метаболизма и защиты митохондрий."
"Юниверон",9500,"1мл",,,Россия,"Пептид для комплексного оздоровления и поддержки иммунной системы."
"Соматомедин",19000,"15мг/3мл",0.993,Россия,"Фактор роста для стимуляции синтеза белка и наращивания мышечной массы."
"ГЛУНАК",3000,"2400мг",,,Россия,"Аминокислотный комплекс для поддержки мозговой деятельности и когнитивных функций."
"Глут",1000,"1200мг",,,Россия,"Глутамин для поддержки иммунной системы и восстановления после нагрузок."
"ТИ-пептин",34000,"50мг/3мл",0.998,Россия,"Инновационный препарат для похудения и улучшения метаболизма. Тройной агонист рецепторов GLP-1, GIP и глюкагона."
"КАГРИ",11500,"10мг/3мл",0.996,Россия,"Аналог амилина для усиления чувства сытости и замедления опорожнения желудка."
"СЕМА+КАГРИ",10000,"12мг/3мл",0.998,Россия,"Синергичная комбинация Сема и Кагри для максимального контроля аппетита и метаболизма."
"КИСС",7000,"10мг/3мл",0.996,Россия,"Пептид для регуляции энергетического баланса и поддержки метаболических процессов."
"АОД-9674",21000,"30мг/3мл",0.993,Россия,"Пептидный агонист для контроля веса и улучшения липидного профиля."
"KLOW",16000,"50+10+10+10/3мл",0.993,Россия,"Комплексный пептидный препарат для похудения и улучшения метаболизма."
"KPV",5500,"10мг/3мл",0.994,Россия,"Противовоспалительный пептид для поддержки иммунной системы и заживления тканей."
"СЕМА",9000,"12мг/3мл",0.998,Россия,"Аналог ГПП-1 для подавления аппетита и улучшения гликемического контроля."
